Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.0399,0.0672,0.34,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.093,0.1059,0.425,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.1561,0.1419,0.529,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.1296,0.1255,0.606,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.1096,0.1188,0.704,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.1661,0.1524,1.015,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.2126,0.1743,1.026,2023-08-07,2024-08-06,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.3555,0.2362,1.411,2023-08-07,2024-08-06,HD
