Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7786,0.3098,0.244,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.8179,0.3005,0.504,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.7857,0.3123,0.532,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.7929,0.2954,0.641,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.8286,0.3021,0.556,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.8286,0.3021,0.717,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.8179,0.2999,0.592,2022-12-10,2023-12-10,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.8429,0.3049,0.542,2022-12-10,2023-12-10,HD
