Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.3406,0.3362,0.424,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.3261,0.3181,0.609,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.4565,0.4363,0.474,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.4058,0.3945,0.868,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.3406,0.3331,1.021,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.337,0.327,1.388,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.3152,0.3066,1.439,2023-06-08,2024-06-07,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.3188,0.3102,1.646,2023-06-08,2024-06-07,AMD
