Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.3179,0.2415,0.528,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.1286,0.0826,0.544,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.3357,0.3205,0.613,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.3286,0.3215,0.89,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.1821,0.1441,0.968,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.2357,0.1883,0.964,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.35,0.258,1.083,2022-12-10,2023-12-10,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.4786,0.322,1.418,2022-12-10,2023-12-10,AVGO
