Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.1893,0.1953,0.684,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.2,0.2018,0.789,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.1929,0.2016,0.864,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.1679,0.1706,1.069,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.1714,0.1735,0.994,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.1607,0.1633,1.12,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.15,0.1497,1.204,2024-04-03,2025-04-03,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.1429,0.1451,1.377,2024-04-03,2025-04-03,AVGO
