Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.3276,0.3153,0.677,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.3,0.2851,0.851,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.4655,0.3676,0.854,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.4862,0.3756,1.057,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.4276,0.3751,1.089,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.4897,0.3777,1.365,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.4793,0.3571,1.303,2022-10-11,2023-10-11,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.5103,0.3669,1.36,2022-10-11,2023-10-11,AVGO
