Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.8269,0.3017,0.066,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.8269,0.3017,0.179,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.8269,0.3017,0.249,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.8269,0.3017,0.177,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.8269,0.3017,0.077,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.8269,0.3017,0.015,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.8269,0.3017,0.269,2023-10-06,2024-10-05,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.8269,0.3017,0.276,2023-10-06,2024-10-05,HD
