Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.2602,0.1722,1.213,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.2602,0.1722,1.221,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2454,0.1864,1.084,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.2491,0.1912,1.167,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.2565,0.1674,1.11,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.2639,0.1852,1.144,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.2342,0.1838,1.245,2023-12-05,2024-12-04,AVGO
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.2862,0.2382,1.457,2023-12-05,2024-12-04,AVGO
