Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.1,0.0606,0.33,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.1357,0.0902,0.352,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2286,0.1509,0.031,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.3179,0.2027,0.434,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.1679,0.1194,0.927,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.3214,0.2131,1.094,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.4321,0.2618,1.184,2023-02-08,2024-02-08,HD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.5643,0.3009,0.909,2023-02-08,2024-02-08,HD
