Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.2193,0.1354,0.488,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.2193,0.1382,0.809,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2416,0.1741,0.857,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.2454,0.182,1.046,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.223,0.1528,1.064,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.2156,0.1438,1.189,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.2528,0.1924,1.278,2023-12-05,2024-12-04,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.2565,0.2074,1.417,2023-12-05,2024-12-04,AMD
