Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.2093,0.1386,0.215,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.3854,0.2907,0.235,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2957,0.2529,0.347,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.299,0.253,0.668,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.2591,0.1955,0.686,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.3322,0.3119,1.0,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.392,0.3702,1.059,2023-04-09,2024-04-08,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.392,0.3576,1.374,2023-04-09,2024-04-08,AMD
