Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.2107,0.1814,0.305,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.1929,0.1718,0.299,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2714,0.2678,0.189,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.25,0.2413,0.539,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.2393,0.2159,0.471,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.2393,0.2177,0.94,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.2821,0.2787,0.676,2022-12-10,2023-12-10,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.2821,0.2784,1.016,2022-12-10,2023-12-10,AMD
