Params,Accuracy,F1_Score,Sharpe,Train_Start,Test_Start,Ticker
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.3714,0.3305,0.695,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.3857,0.344,0.861,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.3429,0.2885,0.906,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.3964,0.3588,1.079,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.3464,0.262,1.279,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.3357,0.2284,1.362,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.3857,0.2973,1.477,2024-04-03,2025-04-03,AMD
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.3786,0.2449,1.468,2024-04-03,2025-04-03,AMD
